time,mode,size,cores
48.78,ec2large,1,1
243.46,ec2large,5,1
484.08,ec2large,10,1
48.60,ec2large,1,1
242.68,ec2large,5,1
492.31,ec2large,10,1
48.97,ec2large,1,1
245.16,ec2large,5,1
489.61,ec2large,10,1
133.27,large16,1,16
129.33,large16,1,16
140.19,large16,1,16
129.21,xlarge16,1,16
129.21,xlarge16,1,16
124.74,xlarge16,1,16
443.34,large16,5,16
461.54,xlarge16,5,16
460.47,xlarge16,5,16
103.44,xlarge48,1,48
96.10,xlarge48,1,48
400.96,xlarge16,5,16
564.06,large16,5,16
545.07,large16,5,16
95.64,xlarge48,1,48
204.37,xlarge48,5,48
203.41,xlarge48,5,48
106.92,large48,1,48
98.35,large48,1,48
829.16,xlarge16,10,16
202.44,xlarge48,5,48
102.12,large48,1,48
1030.81,large16,10,16
209.49,large48,5,48
397.10,xlarge48,10,48
219.18,large48,5,48
389.39,xlarge48,10,48
825.09,xlarge16,10,16
216.41,large48,5,48
111.73,large32,1,32
113.55,xlarge32,1,32
930.83,large16,10,16
110.41,large32,1,32
104.71,xlarge32,1,32
103.71,large32,1,32
103.75,xlarge32,1,32
443.06,xlarge48,10,48
435.68,large48,10,48
265.91,large32,5,32
375.71,xlarge32,5,32
818.25,xlarge16,10,16
268.62,large32,5,32
466.25,large48,10,48
300.60,xlarge32,5,32
978.77,large16,10,16
267.10,large32,5,32
